hash	m	threads	variant	median_ms	min_ms
keccak	23	8	prove-production-bf	6.0725	5.7597
keccak	23	8	prove-l1-bf	5.8530	5.7313
keccak	23	8	verify-l1-bf	3.5840	3.4657
keccak	23	8	prove-production-lig	6.5237	6.2789
keccak	23	8	prove-l1-lig	6.4832	6.2162
keccak	23	8	verify-l1-lig	3.2214	3.1977
keccak	26	8	prove-production-bf	14.3820	13.6834
keccak	26	8	prove-l1-bf	14.2445	13.7370
keccak	26	8	verify-l1-bf	4.0755	3.9607
keccak	26	8	prove-production-lig	15.9633	15.2476
keccak	26	8	prove-l1-lig	16.8794	16.1612
keccak	26	8	verify-l1-lig	3.4306	3.3478
keccak	29	8	prove-production-bf	75.5349	71.8500
keccak	29	8	prove-l1-bf	77.9070	77.0518
keccak	29	8	verify-l1-bf	4.6433	4.4522
keccak	29	8	prove-production-lig	86.5165	84.6473
keccak	29	8	prove-l1-lig	86.2274	84.8183
keccak	29	8	verify-l1-lig	3.7394	3.5413
sha2	23	8	prove-production-bf	5.7891	5.3735
sha2	23	8	prove-l1-bf	6.2164	5.8057
sha2	23	8	verify-l1-bf	2.5366	2.3607
sha2	23	8	prove-production-lig	7.1438	6.7238
sha2	23	8	prove-l1-lig	7.0520	5.9426
sha2	23	8	verify-l1-lig	1.9721	1.9385
sha2	26	8	prove-production-bf	15.2755	15.0566
sha2	26	8	prove-l1-bf	15.1448	14.7278
sha2	26	8	verify-l1-bf	2.9233	2.8514
sha2	26	8	prove-production-lig	17.9598	16.6032
sha2	26	8	prove-l1-lig	16.9473	15.6558
sha2	26	8	verify-l1-lig	2.0700	2.0384
sha2	29	8	prove-production-bf	86.0187	84.8877
sha2	29	8	prove-l1-bf	86.0812	85.1363
sha2	29	8	verify-l1-bf	3.3735	3.3373
sha2	29	8	prove-production-lig	95.3546	94.0475
sha2	29	8	prove-l1-lig	97.3918	93.8776
sha2	29	8	verify-l1-lig	2.4503	2.3766
blake3	23	8	prove-production-bf	5.8779	5.5340
blake3	23	8	prove-l1-bf	5.5808	5.4372
blake3	23	8	verify-l1-bf	3.5958	3.4809
blake3	23	8	prove-production-lig	7.7181	6.2090
blake3	23	8	prove-l1-lig	6.2307	6.1403
blake3	23	8	verify-l1-lig	3.1990	3.1578
blake3	26	8	prove-production-bf	14.4650	14.1483
blake3	26	8	prove-l1-bf	15.0898	13.8518
blake3	26	8	verify-l1-bf	4.1626	3.9961
blake3	26	8	prove-production-lig	17.9634	16.9756
blake3	26	8	prove-l1-lig	18.5548	16.9660
blake3	26	8	verify-l1-lig	3.3915	3.3596
blake3	29	8	prove-production-bf	86.0195	83.7039
blake3	29	8	prove-l1-bf	88.5575	84.4275
blake3	29	8	verify-l1-bf	4.6178	4.5563
blake3	29	8	prove-production-lig	101.0926	98.1606
blake3	29	8	prove-l1-lig	100.7619	98.7341
blake3	29	8	verify-l1-lig	4.0272	3.6420
keccak	23	1	prove-production-bf	10.1599	9.7259
keccak	23	1	prove-l1-bf	9.0896	8.9985
keccak	23	1	verify-l1-bf	3.4222	3.3668
keccak	23	1	prove-production-lig	9.6372	9.3342
keccak	23	1	prove-l1-lig	9.5650	9.4904
keccak	23	1	verify-l1-lig	3.1065	3.0532
keccak	26	1	prove-production-bf	54.2149	53.9132
keccak	26	1	prove-l1-bf	54.9576	54.7651
keccak	26	1	verify-l1-bf	3.9748	3.9437
keccak	26	1	prove-production-lig	56.3820	55.2986
keccak	26	1	prove-l1-lig	56.6124	56.2402
keccak	26	1	verify-l1-lig	3.5095	3.4698
sha2	23	1	prove-production-bf	9.5173	9.4172
sha2	23	1	prove-l1-bf	9.5251	9.4348
sha2	23	1	verify-l1-bf	2.6733	2.6205
sha2	23	1	prove-production-lig	10.3607	10.1448
sha2	23	1	prove-l1-lig	9.7265	9.6909
sha2	23	1	verify-l1-lig	2.4076	2.3611
sha2	26	1	prove-production-bf	63.5994	62.7209
sha2	26	1	prove-l1-bf	63.3793	62.9175
sha2	26	1	verify-l1-bf	3.1923	3.1466
sha2	26	1	prove-production-lig	65.2226	65.2002
sha2	26	1	prove-l1-lig	66.5583	66.0370
sha2	26	1	verify-l1-lig	2.4871	2.4350
blake3	23	1	prove-production-bf	19.9703	19.7095
blake3	23	1	prove-l1-bf	19.5444	18.8575
blake3	23	1	verify-l1-bf	13.1843	12.8587
blake3	23	1	prove-production-lig	20.4112	20.0939
blake3	23	1	prove-l1-lig	20.7108	20.0930
blake3	23	1	verify-l1-lig	12.7892	12.6100
blake3	26	1	prove-production-bf	74.3643	73.3917
blake3	26	1	prove-l1-bf	74.5372	73.0986
blake3	26	1	verify-l1-bf	13.3910	13.3085
blake3	26	1	prove-production-lig	77.3504	76.4439
blake3	26	1	prove-l1-lig	77.3677	77.0370
blake3	26	1	verify-l1-lig	12.8067	12.6186
keccak	29	1	prove-production-lig	433.8543	433.1158
keccak	29	1	prove-l1-lig	438.1812	437.4330
keccak	29	1	verify-l1-lig	3.4985	3.4508
sha2	29	1	prove-production-lig	513.6240	513.0816
sha2	29	1	prove-l1-lig	519.1370	518.1088
sha2	29	1	verify-l1-lig	2.6817	2.6355
blake3	29	1	prove-production-lig	528.7267	528.6667
blake3	29	1	prove-l1-lig	532.8508	532.3698
blake3	29	1	verify-l1-lig	13.3789	13.0764
